Player,Shot,Point,Game,Set,bounce_x_std,bounce_y_std,hit_x_std,hit_y_std,hit_z,Speed (MPH),Type,Stroke,Spin,Bounce Depth,Bounce Zone,Hit Zone,Result,Winner,Hit Depth,Direction,Hit Side,Bounce (x),Bounce (y),Hit (x),Hit (y)
Opponent,2,26,5,1,1.766627,3.781753,5.144531,0.084128,1.049805,47.185268,first_return,Forehand,Topspin,deep,deuce,deuce_alley,In,Opponent,deep,down the line,near,-1.766627,19.988247,5.144531,0.084128
Adi Bitton,3,26,5,1,-1.785826,1.56243,2.556641,0.576837,1.052734,43.323154,serve_plus_one,Forehand,Topspin,deep,ad,deuce,In,Opponent,deep,down the line,far,-1.785826,1.56243,-2.556641,23.193163
Opponent,4,26,5,1,-2.164062,4.73875,-1.236328,-1.884622,1.351562,56.567715,return_plus_one,Backhand,Topspin,deep,ad,ad,In,Opponent,out,cross court,near,2.164062,19.03125,-1.236328,-1.884622
Adi Bitton,5,26,5,1,-2.121094,16.779741,-2.164062,3.529962,0.389404,23.677324,in_play,Volley,Flat,short,deuce,ad,Net,Adi Bitton,deep,down the line,far,-2.121094,16.779741,2.164062,20.240038
Adi Bitton,1,27,5,1,-1.130859,12.335938,-0.523926,-0.016913,2.386719,46.548023,first_serve,Serve,Flat,short,deuce,ad,Net,Adi Bitton,deep,down the T,far,-1.130859,12.335938,0.523926,23.786913
Adi Bitton,1,27,5,1,-1.797039,7.48239,-0.422363,0.373712,2.359375,57.278492,second_serve,Serve,Kick,short,ad,ad,In,Adi Bitton,deep,down the T,far,-1.797039,7.48239,0.422363,23.396288
Opponent,2,27,5,1,-1.234488,3.782087,-2.236328,-0.509622,1.515625,51.599243,second_return,Forehand,Flat,deep,ad,ad,In,Adi Bitton,deep,inside out,near,1.234488,19.987913,-2.236328,-0.509622
Adi Bitton,3,27,5,1,-1.778975,5.887768,-1.680664,-1.063788,1.556641,61.965958,serve_plus_one,Backhand,Topspin,short,ad,ad,In,Adi Bitton,deep,cross court,far,-1.778975,5.887768,1.680664,24.833788
Opponent,4,27,5,1,-0.711634,3.904043,-2.373047,-1.384622,0.790527,32.997337,return_plus_one,Backhand,Slice,deep,ad,ad,In,Adi Bitton,out,cross court,near,0.711634,19.865957,-2.373047,-1.384622
Adi Bitton,5,27,5,1,1.615799,6.759477,-0.942871,-0.423163,1.619141,56.322922,in_play,Forehand,Topspin,short,deuce,ad,In,Opponent,deep,inside in,far,1.615799,6.759477,0.942871,24.193163
Adi Bitton,1,28,5,1,3.663283,7.80097,1.641602,-0.063788,2.353516,63.487747,first_serve,Serve,Slice,short,deuce,deuce,In,Opponent,deep,out wide,far,3.663283,7.80097,-1.641602,23.833788
Opponent,2,28,5,1,2.258575,3.440845,4.707031,1.693503,1.279297,34.491226,first_return,Forehand,Slice,deep,deuce,deuce_alley,In,Opponent,deep,down the line,near,-2.258575,20.329155,4.707031,1.693503
