Player,Shot,Point,Game,Set,Type,Stroke,Spin,Result,Winner,Bounce Depth,Bounce Zone,Bounce Side,Hit Depth,Hit Zone,Direction,Speed (MPH),Hit Side,Bounce (x),Bounce (y),bounce_x_std,bounce_y_std,Hit (x),Hit (y),Hit (z),hit_x_std,hit_y_std
Nikol Mircheva,1,76,14,2,second_serve,Serve,Flat,In,Opponent,short,ad,far,deep,ad,down the T,57.846447,near,0.728367,15.540248,-0.728367,8.229752,-1.183594,1.381003,2.289062,1.381003,1.381003
Opponent,3,76,14,2,second_return,Forehand,Topspin,Out,Opponent,out,ad,near,deep,ad,inside out,49.644859,far,-2.882048,-0.106426,-2.882048,-0.106426,1.371094,23.615038,1.382812,-1.371094,0.154962
Nikol Mircheva,4,76,14,2,serve_plus_one,Backhand,Flat,In,Opponent,deep,ad,far,out,ad,cross court,49.238865,near,0.136847,20.255157,-0.136847,3.514843,-2.443359,-1.259622,0.817383,-1.259622,-1.259622
Opponent,5,76,14,2,return_plus_one,Forehand,Topspin,In,Opponent,short,ad,near,deep,ad,inside out,27.295807,far,-2.214844,7.941406,-2.214844,7.941406,0.354492,23.193163,1.294922,-0.354492,0.576837
Nikol Mircheva,1,77,14,2,first_serve,Serve,Slice,In,Nikol Mircheva,short,deuce,far,deep,deuce,down the T,91.010773,near,-1.312686,18.278061,1.312686,5.491939,0.823242,1.12049,2.617188,1.12049,1.12049
Opponent,2,77,14,2,first_return,Backhand,Topspin,In,Nikol Mircheva,short,deuce,near,deep,deuce,inside out,45.39275,far,0.267992,7.568428,0.267992,7.568428,-1.789062,23.411913,1.417969,1.789062,0.358087
Nikol Mircheva,3,77,14,2,serve_plus_one,Forehand,Slice,In,Nikol Mircheva,deep,deuce,far,deep,deuce,cross court,41.207043,near,-3.555312,23.705809,3.555312,0.064191,0.86377,0.771628,0.771484,0.771628,0.771628
Opponent,4,77,14,2,return_plus_one,Forehand,Topspin,Out,Nikol Mircheva,out,ad_alley,near,out,deuce,down the line,52.016682,far,-5.050781,-0.40625,-5.050781,-0.40625,-3.820312,26.536913,0.914062,3.820312,-2.766913
Nikol Mircheva,1,78,14,2,first_serve,Serve,Flat,In,Nikol Mircheva,short,ad,far,deep,ad,down the T,90.583038,near,0.263591,18.078257,-0.263591,5.691743,-1.007812,0.888816,2.25,0.888816,0.888816
Opponent,1,79,15,2,first_serve,Serve,Slice,In,Opponent,short,deuce,near,deep,deuce,out wide,69.945282,far,2.754547,7.136009,2.754547,7.136009,-0.899902,24.349413,2.292969,0.899902,-0.579413
Nikol Mircheva,2,79,15,2,first_return,Backhand,Topspin,Net,Opponent,short,ad,near,out,deuce,inside in,32.238083,near,-0.792969,11.609375,0.792969,12.160625,2.105469,-0.673684,1.287109,-0.673684,-0.673684
Opponent,1,80,15,2,first_serve,Serve,Flat,In,Opponent,short,ad,near,deep,ad,out wide,88.739151,far,-2.402856,6.339896,-2.402856,6.339896,0.689941,24.458788,2.396484,-0.689941,-0.688788
Nikol Mircheva,2,80,15,2,first_return,Backhand,Topspin,In,Opponent,deep,deuce,far,out,ad,down the line,45.845722,near,-2.193359,19.296875,2.193359,4.473125,-2.892578,-1.267434,1.024414,-1.267434,-1.267434
Opponent,3,80,15,2,serve_plus_one,Volley,Flat,In,Opponent,deep,ad,near,deep,deuce,down the line,19.052607,far,-0.89325,4.987424,-0.89325,4.987424,-2.193359,20.505663,0.584961,2.193359,3.264337
Nikol Mircheva,4,80,15,2,return_plus_one,Backhand,Flat,In,Opponent,short,deuce,far,deep,ad,down the line,64.59066,near,-1.347656,14.28125,1.347656,9.48875,-0.581055,1.209128,0.648926,1.209128,1.209128
Opponent,5,80,15,2,in_play,Volley,Flat,In,Opponent,short,ad,near,short,deuce,down the line,20.784662,far,-2.104024,6.60029,-2.104024,6.60029,-1.347656,15.490038,1.145508,1.347656,8.279962
Opponent,1,81,15,2,first_serve,Serve,Slice,In,Nikol Mircheva,short,deuce,near,short,deuce,down the T,124.047745,far,1.670898,6.029926,1.670898,6.029926,-0.496582,24.23053,2.453125,0.496582,-0.46053
Nikol Mircheva,2,81,15,2,first_return,Backhand,Slice,In,Nikol Mircheva,short,deuce,far,deep,deuce,inside out,33.816414,near,-0.700684,17.21875,0.700684,6.55125,1.631836,-0.009622,1.069336,-0.009622,-0.009622
Opponent,3,81,15,2,serve_plus_one,Overhead,Flat,Net,Nikol Mircheva,short,deuce,far,short,deuce,---,40.444153,far,-0.058787,16.114792,-0.058787,16.114792,-0.700684,18.427538,2.134766,0.700684,5.342462
Opponent,1,82,15,2,first_serve,Serve,Flat,In,Nikol Mircheva,short,ad,near,deep,ad,out wide,80.525673,far,-3.551937,7.109784,-3.551937,7.109784,0.860352,24.427538,2.388672,-0.860352,-0.657538
Nikol Mircheva,2,82,15,2,first_return,Backhand,Topspin,In,Nikol Mircheva,short,deuce,far,out,ad_alley,down the line,41.20163,near,-0.395508,14.5625,0.395508,9.2075,-4.75,-0.626809,1.230469,-0.626809,-0.626809
Opponent,1,83,15,2,first_serve,Serve,Flat,In,Opponent,short,deuce,near,short,deuce,down the T,84.581787,far,0.373826,7.360331,0.373826,7.360331,-0.56543,23.583879,2.248047,0.56543,0.186121
Nikol Mircheva,2,83,15,2,first_return,Backhand,Flat,Net,Opponent,short,deuce,near,deep,deuce,inside out,30.469448,near,0.429443,5.506569,-0.429443,18.263431,0.867188,0.185691,1.320312,0.185691,0.185691
Opponent,1,84,15,2,first_serve,Serve,Flat,In,Nikol Mircheva,short,ad,near,deep,ad,out wide,82.183701,far,-4.105861,7.201267,-4.105861,7.201267,0.482178,23.588198,2.310547,-0.482178,0.181802
Nikol Mircheva,2,84,15,2,first_return,Backhand,Topspin,In,Nikol Mircheva,deep,deuce,far,deep,ad_alley,down the line,31.849188,near,-0.882812,18.796875,0.882812,4.973125,-5.386719,-0.462747,1.023438,-0.462747,-0.462747
Nikol Mircheva,1,85,16,2,first_serve,Serve,Flat,In,Nikol Mircheva,short,deuce,near,short,deuce,out wide,83.447456,far,3.206348,6.73927,3.206348,6.73927,-1.145508,23.425589,2.740234,1.145508,0.344411
Opponent,2,85,16,2,first_return,Forehand,Topspin,Out,Nikol Mircheva,out,ad,far,deep,deuce,down the line,37.969013,near,1.78569,26.872944,-1.78569,-3.102944,3.90625,0.216941,1.619141,0.216941,0.216941
Nikol Mircheva,1,86,16,2,first_serve,Serve,Slice,Out,Nikol Mircheva,deep,ad,near,deep,ad,down the T,87.662971,far,-1.395122,4.828718,-1.395122,4.828718,1.003906,24.146288,2.441406,-1.003906,-0.376288
Nikol Mircheva,1,86,16,2,second_serve,Serve,Kick,In,Nikol Mircheva,short,ad,near,deep,ad,out wide,44.010567,far,-3.471572,7.835214,-3.471572,7.835214,0.571777,22.865038,2.425781,-0.571777,0.904962
Opponent,3,86,16,2,second_return,Backhand,Flat,In,Nikol Mircheva,short,ad,far,deep,ad_alley,down the line,42.845119,near,2.639276,16.100668,-2.639276,7.669332,-4.632812,0.552878,1.742188,0.552878,0.552878
Nikol Mircheva,4,86,16,2,serve_plus_one,Backhand,Slice,In,Nikol Mircheva,short,ad,near,deep,ad_alley,down the line,33.568161,far,-2.279297,9.015625,-2.279297,9.015625,4.253906,23.052538,0.717285,-4.253906,0.717462
Opponent,5,86,16,2,return_plus_one,Volley,Flat,In,Nikol Mircheva,short,deuce,far,short,ad,down the line,19.918634,near,-1.8916,17.878996,1.8916,5.891004,-2.279297,8.490378,0.946289,8.490378,8.490378
Nikol Mircheva,6,86,16,2,in_play,Forehand,Slice,In,Nikol Mircheva,short,ad,near,deep,deuce,down the line,31.522091,far,-1.777344,7.925781,-1.777344,7.925781,-2.066406,20.333788,1.116211,2.066406,3.436212
Opponent,7,86,16,2,in_play,Overhead,Flat,Net,Nikol Mircheva,deep,ad,near,short,ad,---,51.654785,near,-1.665039,2.0625,1.665039,21.7075,-1.777344,7.400534,2.464844,7.400534,7.400534
Nikol Mircheva,1,87,16,2,first_serve,Serve,Flat,In,Opponent,short,deuce,near,deep,deuce,down the T,88.074951,far,2.22794,6.414228,2.22794,6.414228,-0.755371,23.083788,2.205078,0.755371,0.686212
Opponent,2,87,16,2,first_return,Forehand,Flat,In,Opponent,deep,ad,far,out,deuce,down the line,38.498913,near,2.199944,19.791868,-2.199944,3.978132,3.476562,-1.368997,1.013672,-1.368997,-1.368997
